"state","candidate_name","pollster_rating_name","predicted_pct"
"Arizona","Kamala Harris","The New York Times/Siena College",46.8847472372265
"Arizona","Donald Trump","The New York Times/Siena College",44.1199049335354
"Arizona","Kamala Harris","The New York Times/Siena College",46.8244646224085
"Arizona","Donald Trump","The New York Times/Siena College",44.3302322222362
"Arizona","Jill Stein","The New York Times/Siena College",1.21435213134885
"Arizona","Chase Oliver","The New York Times/Siena College",1.27608899139647
"Georgia","Kamala Harris","RMG Research",49.0011455644331
"Georgia","Donald Trump","RMG Research",46.5254998204311
"Massachusetts","Kamala Harris","University of Massachusetts Department of Political Science/YouGov",44.0030744219463
"Massachusetts","Donald Trump","University of Massachusetts Department of Political Science/YouGov",41.3867285742114
"Massachusetts","Jill Stein","University of Massachusetts Department of Political Science/YouGov",-1.69906681122298
"Massachusetts","Chase Oliver","University of Massachusetts Department of Political Science/YouGov",-1.48962378599204
"Massachusetts","Claudia De La Cruz","University of Massachusetts Department of Political Science/YouGov",2.99326751908
"Massachusetts","Shiva Ayyadurai","University of Massachusetts Department of Political Science/YouGov",13.6174151591218
"Pennsylvania","Kamala Harris","American Pulse Research & Polling",49.4077004968464
"Pennsylvania","Donald Trump","American Pulse Research & Polling",46.9859564306493
"Pennsylvania","Jill Stein","American Pulse Research & Polling",3.84021941401681
"Pennsylvania","Chase Oliver","American Pulse Research & Polling",3.82862984345122
"Pennsylvania","Kamala Harris","American Pulse Research & Polling",49.3823277289202
"Pennsylvania","Donald Trump","American Pulse Research & Polling",46.9593842067662
"New Hampshire","Kamala Harris","University of Massachusetts Lowell Center for Public Opinion",46.0883283334302
"New Hampshire","Donald Trump","University of Massachusetts Lowell Center for Public Opinion",43.6201983555411
"New Hampshire","Jill Stein","University of Massachusetts Lowell Center for Public Opinion",0.448008521895645
"New Hampshire","Chase Oliver","University of Massachusetts Lowell Center for Public Opinion",0.52644544313867
"Texas","Kamala Harris","University of Houston Hobby School of Public Affairs",46.9349003158834
"Texas","Donald Trump","University of Houston Hobby School of Public Affairs",44.3351560727744
"Texas","Jill Stein","University of Houston Hobby School of Public Affairs",1.40535851777629
"Texas","Chase Oliver","University of Houston Hobby School of Public Affairs",1.33077743034687
"California","Kamala Harris","ActiVote",50.8645778242663
"California","Donald Trump","ActiVote",48.2909595786161
"Missouri","Kamala Harris","ActiVote",50.8508613869023
"Missouri","Donald Trump","ActiVote",48.2792695809072
"Michigan","Kamala Harris","InsiderAdvantage",48.6103576051635
"Michigan","Donald Trump","InsiderAdvantage",46.0173854747141
"Wisconsin","Kamala Harris","InsiderAdvantage",48.4239678341805
"Wisconsin","Donald Trump","InsiderAdvantage",45.960009846686
"Georgia","Kamala Harris","Redfield & Wilton Strategies",45.1677310924407
"Georgia","Donald Trump","Redfield & Wilton Strategies",42.5827436129647
"Georgia","Chase Oliver","Redfield & Wilton Strategies",-0.464977227639742
"Georgia","Jill Stein","Redfield & Wilton Strategies",-0.333117735701087
"Pennsylvania","Kamala Harris","Redfield & Wilton Strategies",45.2442425802477
"Pennsylvania","Donald Trump","Redfield & Wilton Strategies",42.819956102209
"Pennsylvania","Chase Oliver","Redfield & Wilton Strategies",-0.287303124502519
"Pennsylvania","Jill Stein","Redfield & Wilton Strategies",-0.428020276735534
"Alaska","Kamala Harris","Alaska Survey Research",45.8539827105124
"Alaska","Donald Trump","Alaska Survey Research",43.2013446184504
"Alaska","Robert F. Kennedy","Alaska Survey Research",9.18042525462735
"Alaska","Kamala Harris","Alaska Survey Research",45.61280160388
"Alaska","Donald Trump","Alaska Survey Research",43.2958718450019
"Pennsylvania","Kamala Harris","TIPP Insights",47.1541340970657
"Pennsylvania","Donald Trump","TIPP Insights",44.7605474623117
"Pennsylvania","Kamala Harris","TIPP Insights",47.1503726387597
"Pennsylvania","Donald Trump","TIPP Insights",44.4931888482563
"Pennsylvania","Kamala Harris","TIPP Insights",47.1889343376388
"Pennsylvania","Donald Trump","TIPP Insights",44.6590191294439
"Pennsylvania","Cornel West","TIPP Insights",1.52328667104566
"Pennsylvania","Jill Stein","TIPP Insights",1.46033065486717
"Pennsylvania","Kamala Harris","TIPP Insights",47.1428954005288
"Pennsylvania","Donald Trump","TIPP Insights",44.6925676041928
"Pennsylvania","Cornel West","TIPP Insights",1.50762975265025
"Pennsylvania","Jill Stein","TIPP Insights",1.54824933608769
"Arizona","Kamala Harris","Fabrizio, Lee & Associates/McLaughlin & Associates",48.3908334385232
"Arizona","Donald Trump","Fabrizio, Lee & Associates/McLaughlin & Associates",46.1476880710274
"Georgia","Kamala Harris","Fabrizio, Lee & Associates/McLaughlin & Associates",48.4134127052351
