candidate,weight_value,support_pct,date
Trump,6.456769655572163,47,10/14/24
Harris,6.525029657843462,47,10/14/24
Trump,6.525029657843462,47,10/14/24
Harris,6.298949246855942,51,10/14/24
Trump,6.298949246855942,43,10/14/24
Harris,6.731018100482083,47,10/14/24
Trump,6.731018100482083,47,10/14/24
Harris,5.945420608606575,49,10/14/24
Trump,5.945420608606575,45,10/14/24
Harris,7.407924322559599,48,10/14/24
Trump,7.407924322559599,48,10/14/24
Harris,6.46302945692067,48,10/14/24
Trump,6.46302945692067,47,10/14/24
Harris,6.396929655216146,46.6,10/14/24
Trump,6.396929655216146,47.2,10/14/24
Harris,7.01211529430638,48,10/14/24
Trump,7.01211529430638,50,10/14/24
Harris,6.76849321164863,48,10/14/24
Trump,6.76849321164863,50,10/14/24
Harris,7.191429330036379,45,10/14/24
Trump,7.191429330036379,52,10/14/24
Harris,7.191429330036379,46,10/14/24
Trump,7.191429330036379,52,10/14/24
Harris,6.93828448401696,49,10/14/24
Trump,6.93828448401696,47,10/14/24
Harris,6.93828448401696,50,10/14/24
Trump,6.93828448401696,47,10/14/24
Harris,6.555356891810665,57,10/14/24
Trump,6.555356891810665,35,10/14/24
Harris,6.692083742506628,50,10/14/24
Trump,6.692083742506628,47,10/14/24
Harris,5.991464547107982,62.9,10/14/24
Trump,5.991464547107982,37.1,10/14/24
Harris,7.10002716662926,49,10/13/24
Trump,7.10002716662926,46,10/13/24
Harris,7.86172707782398,49,10/13/24
Trump,7.86172707782398,48,10/13/24
Harris,7.86172707782398,51,10/13/24
Trump,7.86172707782398,49,10/13/24
Harris,8.05356916913454,51,10/13/24
Trump,8.05356916913454,49,10/13/24
Harris,8.05356916913454,49,10/13/24
Trump,8.05356916913454,48,10/13/24
Harris,9.06496771896043,50,10/13/24
Trump,9.06496771896043,46,10/13/24
Harris,6.539585955617669,49,10/13/24
Trump,6.539585955617669,48,10/13/24
Harris,6.693323668269949,45,10/13/24
Trump,6.693323668269949,42,10/13/24
Harris,6.645090969505644,47,10/13/24
Trump,6.645090969505644,44,10/13/24
Harris,6.843749949006225,41,10/13/24
Trump,6.843749949006225,37,10/13/24
Harris,6.993932975223189,46,10/13/24
Trump,6.993932975223189,47.5,10/13/24
Harris,6.98933526597456,44.6,10/13/24
Trump,6.98933526597456,46.5,10/13/24
Harris,6.992096427415888,45.6,10/13/24
Trump,6.992096427415888,44.8,10/13/24
Harris,5.991464547107982,60,10/13/24
Trump,5.991464547107982,40,10/13/24
Harris,9.093918908958932,50,10/12/24
Trump,9.093918908958932,46,10/12/24
Harris,5.993961427306569,57,10/12/24
Trump,5.993961427306569,32,10/12/24
Harris,9.0940312495758,50,10/11/24
Trump,9.0940312495758,46,10/11/24
Harris,7.605890001053122,51,10/11/24
Trump,7.605890001053122,49,10/11/24
Harris,7.905441649060286,51,10/11/24
Trump,7.905441649060286,48,10/11/24
Harris,6.396929655216146,44.9,10/11/24
Trump,6.396929655216146,44,10/11/24
Harris,9.1649245084457,50,10/10/24
Trump,9.1649245084457,46,10/10/24
Harris,7.244941546337007,52,10/10/24
Trump,7.244941546337007,47,10/10/24
Harris,7.443078374348516,51,10/10/24
Trump,7.443078374348516,48,10/10/24
Harris,7.987864096085687,50,10/10/24
Trump,7.987864096085687,47,10/10/24
Harris,6.75343791859778,50,10/10/24
Trump,6.75343791859778,47,10/10/24
Harris,6.75343791859778,49,10/10/24
Trump,6.75343791859778,45,10/10/24
Harris,6.75343791859778,50,10/10/24
Trump,6.75343791859778,47,10/10/24
Harris,6.75343791859778,49,10/10/24
Trump,6.75343791859778,45,10/10/24
Harris,6.694562058521095,46,10/10/24
Trump,6.694562058521095,51,10/10/24
Harris,6.694562058521095,45,10/10/24
Trump,6.694562058521095,50,10/10/24
Harris,6.694562058521095,45,10/10/24
Trump,6.694562058521095,51,10/10/24
Harris,6.694562058521095,44,10/10/24
Trump,6.694562058521095,49,10/10/24
Harris,6.594413459749778,47,10/10/24
Trump,6.594413459749778,50,10/10/24
